2025-09-15 12:50:39 | INFO     | werkzeug             |  * Restarting with stat
2025-09-15 12:50:41 | INFO     | kempian.app          | Kempian backend application starting up
2025-09-15 12:50:42 | INFO     | botocore.credentials | Found credentials in environment variables.
2025-09-15 12:50:43 | INFO     | kempian.cache        | Cache manager initialized successfully
2025-09-15 12:50:43 | WARNING  | kempian.monitoring   | ALERT: High CPU usage: 86.9%
2025-09-15 12:50:43 | WARNING  | kempian.monitoring   | ALERT: High memory usage: 91.0%
2025-09-15 12:50:43 | WARNING  | kempian.monitoring   | ALERT: Low cache hit rate: 60.9%
2025-09-15 12:50:43 | INFO     | faiss.loader         | Loading faiss with AVX2 support.
2025-09-15 12:50:43 | INFO     | faiss.loader         | Successfully loaded faiss with AVX2 support.
2025-09-15 12:50:43 | INFO     | faiss                | Failed to load GPU Faiss: name 'GpuIndexIVFFlat' is not defined. Will not load constructor refs for GPU indexes. This is only an error if you're trying to use GPU Faiss.
2025-09-15 12:50:56 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: sentence-transformers/all-mpnet-base-v2
2025-09-15 12:51:03 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-09-15 12:51:03 | INFO     | sentence_transformers.SentenceTransformer | Load pretrained SentenceTransformer: all-MiniLM-L6-v2
2025-09-15 12:51:06 | INFO     | sentence_transformers.SentenceTransformer | Use pytorch device_name: cpu
2025-09-15 12:51:06 | INFO     | kempian.search       | Multi-model embedding service initialized
2025-09-15 12:51:06 | INFO     | kempian.search       | Original AdeptAI algorithm imported successfully
2025-09-15 12:51:08 | INFO     | stripe               | message='Request to Stripe api' method=get path=https://api.stripe.com/v1/account
2025-09-15 12:51:08 | INFO     | stripe               | message='Stripe API response' path=https://api.stripe.com/v1/account response_code=401
2025-09-15 12:51:08 | INFO     | stripe               | error_code=None error_message='Invalid API Key provided: sk_live_************************************************************************************************jCJx' error_param=None error_type=invalid_request_error message='Stripe API error received'
2025-09-15 12:51:09 | INFO     | kempian.monitoring   | Performance monitor initialized
2025-09-15 12:51:09 | INFO     | kempian.monitoring   | Performance monitoring started (interval: 30s)
2025-09-15 12:51:09 | INFO     | kempian.async_processor | AsyncProcessor initialized with 50 threads and 16 processes
2025-09-15 12:51:09 | INFO     | kempian.async_processor | Background processing started
2025-09-15 12:51:09 | INFO     | kempian.memory_optimizer | Memory optimizer initialized
2025-09-15 12:51:09 | WARNING  | kempian.memory_optimizer | Memory usage: 92.0% (7.2GB used)
2025-09-15 12:51:09 | INFO     | kempian.memory_optimizer | Memory optimization started (interval: 30s)
2025-09-15 12:51:10 | WARNING  | kempian.memory_optimizer | High memory optimization: GC collected 10 objects
2025-09-15 12:51:10 | INFO     | kempian.app          | Kempian backend application started successfully
2025-09-15 12:51:10 | WARNING  | kempian.memory_optimizer | Memory usage: 91.9% (7.2GB used)
2025-09-15 12:51:10 | WARNING  | werkzeug             |  * Debugger is active!
2025-09-15 12:51:10 | INFO     | werkzeug             |  * Debugger PIN: 387-860-546
